,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
2,워커힐푸르지오,91B㎡,서울시 광진구 광장동 148-4,서울시 광진구 아차산로78길 10,200.0,0.0,91.39,65.65,72,3,1,10,,,,,
3,워커힐푸르지오,96㎡,서울시 광진구 광장동 148-4,서울시 광진구 아차산로78길 10,200.0,0.0,96.98,69,71,3,2,60,122500,"12억 5,000~12억 9,000","5억 3,000~5억 7,000","4억/100~5억 5,000/20","4억/100~5억 5,000/20"
4,워커힐푸르지오,99㎡,서울시 광진구 광장동 148-4,서울시 광진구 아차산로78길 10,200.0,0.0,99.81,69.01,69,3,2,20,,,,5억/100,5억/100
5,워커힐푸르지오,118A㎡,서울시 광진구 광장동 148-4,서울시 광진구 아차산로78길 10,200.0,0.0,118.91,92.4,78,3,2,60,123000,"13억 7,000~16억","6억 9,000~7억 1,900","3억/200~7억 4,000/15","3억/200~7억 4,000/15"
6,워커힐푸르지오,119B,서울시 광진구 광장동 148-4,서울시 광진구 아차산로78길 10,200.0,0.0,119.76,92.42,77,3,2,10,,,,,
0,워커힐현대빌,144A㎡,서울시 광진구 광장동 105,서울시 광진구 아차산로78길 63,19.0,0.0,144.78,133.44,92,4,2,1,123000.0,,,,
1,워커힐현대빌,145B,서울시 광진구 광장동 105,서울시 광진구 아차산로78길 63,19.0,0.0,145.09,133.68,92,4,2,18,122500.0,"10억 5,000~15억",6억,,
0,유진스웰(주상복합),166㎡,서울시 광진구 광장동 121,서울시 광진구 아차산로78길 7,52.0,0.0,166.3,136.68,82,4,2,28,123000.0,19억~22억,12억~16억,,
1,유진스웰(주상복합),175㎡,서울시 광진구 광장동 121,서울시 광진구 아차산로78길 7,52.0,0.0,175.46,142.43,81,3,2,2,123000.0,,,,
2,유진스웰(주상복합),201㎡,서울시 광진구 광장동 121,서울시 광진구 아차산로78길 7,52.0,0.0,201.48,165.32,82,4,2,20,122500.0,21억,,,
3,유진스웰(주상복합),255,서울시 광진구 광장동 121,서울시 광진구 아차산로78길 7,52.0,0.0,255.99,209.27,82,4,2,2,,,,,
0,이성리베바움(주상복합),39㎡,서울시 광진구 광장동 117,서울시 광진구 아차산로78길 47,12.0,0.0,39.93,35.24,88,1,1,3,123000.0,,,,
1,이성리베바움(주상복합),49㎡,서울시 광진구 광장동 117,서울시 광진구 아차산로78길 47,12.0,0.0,49.36,43.56,88,2,1,3,122500.0,,,,
2,이성리베바움(주상복합),51㎡,서울시 광진구 광장동 117,서울시 광진구 아차산로78길 47,12.0,0.0,51.84,45.75,88,2,1,3,123000.0,,,,
3,이성리베바움(주상복합),74,서울시 광진구 광장동 117,서울시 광진구 아차산로78길 47,12.0,0.0,74.28,65.54,88,3,1,3,,,,,
0,청구,91㎡,서울시 광진구 광장동 566,서울시 광진구 아차산로 503-23,654.0,0.0,91.7,59.95,65,3,1,340,123000.0,"9억~11억 9,000","4억 3,000~6억 5,000","1억/150~4억 2,000/60","1억/150~4억 2,000/60"
1,청구,109,서울시 광진구 광장동 566,서울시 광진구 아차산로 503-23,654.0,0.0,109.1,84.86,78,3,2,314,122500.0,"13억~15억 3,000","6억 5,000~7억 8,000",5억/80~5억/120,5억/80~5억/120
0,한강,73㎡,서울시 광진구 광장동 184-11,서울시 광진구 아차산로78길 170,16.0,0.0,73.82,60.01,81,3,1,4,123000.0,,,,
1,한강,110㎡,서울시 광진구 광장동 184-11,서울시 광진구 아차산로78길 170,16.0,0.0,110.07,89.49,81,3,2,4,122500.0,,,,
2,한강,115,서울시 광진구 광장동 184-11,서울시 광진구 아차산로78길 170,16.0,0.0,115.24,93.69,81,3,2,8,123000.0,6억,,,
0,한강현대,49㎡,서울시 광진구 광장동 457-24,서울시 광진구 아차산로70길 30,15.0,0.0,49.58,42.42,86,2,1,1,123000.0,,,,
1,한강현대,54㎡,서울시 광진구 광장동 457-24,서울시 광진구 아차산로70길 30,15.0,0.0,54.21,46.38,86,2,1,1,122500.0,,,,
2,한강현대,61㎡,서울시 광진구 광장동 457-24,서울시 광진구 아차산로70길 30,15.0,0.0,61.7,52.79,86,3,2,1,123000.0,,,,
3,한강현대,65㎡,서울시 광진구 광장동 457-24,서울시 광진구 아차산로70길 30,15.0,0.0,65.83,56.32,86,3,2,1,,,,,
4,한강현대,79㎡,서울시 광진구 광장동 457-24,서울시 광진구 아차산로70길 30,15.0,0.0,79.29,67.84,86,3,2,1,,,,,
5,한강현대,81㎡,서울시 광진구 광장동 457-24,서울시 광진구 아차산로70길 30,15.0,0.0,81.63,69.84,86,3,2,1,,,,,
6,한강현대,85,서울시 광진구 광장동 457-24,서울시 광진구 아차산로70길 30,15.0,0.0,85.28,72.96,86,3,2,9,,,,,
0,현대8단지,95㎡,서울시 광진구 광장동 565,서울시 광진구 아차산로 522,537.0,0.0,95.86,59.94,63,3,1,94,123000.0,"11억 5,000~11억 8,000","5억~6억 5,000",,
