,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
1,등촌아이파크,105B㎡,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,105.84,84.75,80,3,2,271,97500.0,9억~11억,"6억~7억 8,000",4억/90~6억/40,4억/90~6억/40
2,등촌아이파크,107A㎡,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,107.13,84.97,79,3,2,19,97500.0,,,,
3,등촌아이파크,150㎡,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,150.13,119.9,80,4,2,137,100500.0,"14억~15억 5,000",8억,,
4,등촌아이파크,170A㎡,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,170.21,134.88,79,4,2,228,107000.0,"14억~14억 5,000","7억 8,000~9억",,
5,등촌아이파크,171B㎡,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,171.13,134.98,79,4,2,75,,"13억~13억 5,000",,,
6,등촌아이파크,171C㎡,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,171.13,134.98,79,4,2,75,,14억,"8억 3,000~9억",,
7,등촌아이파크,204㎡,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,204.82,165.82,81,4,3,227,,"13억~17억 5,000","9억~10억 3,000",6억/130,6억/130
8,등촌아이파크,296,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,296.19,233.69,79,5,4,6,,,,,
0,등촌역삼익퀸즈포디엄(도시형),37D㎡,서울시 강서구 등촌동 511-4,서울시 강서구 등촌로51가길 35,104.0,0.0,37.32,32.37,87,2,1,26,100500.0,"3억 5,000~3억 7,000",3억,,
1,등촌역삼익퀸즈포디엄(도시형),38A㎡,서울시 강서구 등촌동 511-4,서울시 강서구 등촌로51가길 35,104.0,0.0,38.78,33.64,87,2,1,26,97500.0,"3억 5,000~3억 8,000","2억 7,000",,
2,등촌역삼익퀸즈포디엄(도시형),51B㎡,서울시 강서구 등촌동 511-4,서울시 강서구 등촌로51가길 35,104.0,0.0,51.64,44.8,87,3,1,26,97500.0,,"3억 8,000~4억","2억 8,000/60","2억 8,000/60"
3,등촌역삼익퀸즈포디엄(도시형),54C,서울시 강서구 등촌동 511-4,서울시 강서구 등촌로51가길 35,104.0,0.0,54.69,47.44,87,3,1,26,99000.0,"4억 5,000~4억 7,000","3억 5,000","5,000/140","5,000/140"
0,등촌예비(등마루),79㎡,서울시 강서구 등촌동 365-201,서울시 강서구 공항대로58다길 13,12.0,0.0,79.69,68.68,86,3,2,2,97500.0,,,,
1,등촌예비(등마루),85㎡,서울시 강서구 등촌동 365-201,서울시 강서구 공항대로58다길 13,12.0,0.0,85.16,73.4,86,3,2,8,97500.0,,,,
2,등촌예비(등마루),88㎡,서울시 강서구 등촌동 365-201,서울시 강서구 공항대로58다길 13,12.0,0.0,88.47,83.39,94,3,2,1,99000.0,,,,
3,등촌예비(등마루),94,서울시 강서구 등촌동 365-201,서울시 강서구 공항대로58다길 13,12.0,0.0,94.91,89.3,94,3,2,1,100500.0,,,,
0,등촌월드메르디앙,75㎡,서울시 강서구 등촌동 711,서울시 강서구 양천로 420,145.0,0.0,75.8,59.79,79,3,1,55,97500.0,"7억 5,000","4억 8,000",,
1,등촌월드메르디앙,104A㎡,서울시 강서구 등촌동 711,서울시 강서구 양천로 420,145.0,0.0,104.38,84.97,81,3,2,60,97500.0,"9억 5,000~11억",,,
